Country Name,Country Code,Time,Time Code,"GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]"
Argentina,ARG,1985,YR1985,..
Argentina,ARG,1986,YR1986,..
Argentina,ARG,1987,YR1987,..
Argentina,ARG,1988,YR1988,..
Argentina,ARG,1989,YR1989,..
Argentina,ARG,1990,YR1990,7000
Argentina,ARG,1991,YR1991,7890
Argentina,ARG,1992,YR1992,8700
Argentina,ARG,1993,YR1993,9570
Argentina,ARG,1994,YR1994,10190
Argentina,ARG,1995,YR1995,9950
Argentina,ARG,1996,YR1996,10540
Argentina,ARG,1997,YR1997,11440
Argentina,ARG,1998,YR1998,11830
Argentina,ARG,1999,YR1999,11460
Argentina,ARG,2000,YR2000,11500
Argentina,ARG,2001,YR2001,11090
Argentina,ARG,2002,YR2002,9700
Argentina,ARG,2003,YR2003,10770
Argentina,ARG,2004,YR2004,11050
Argentina,ARG,2005,YR2005,12250
Argentina,ARG,2006,YR2006,14730
Argentina,ARG,2007,YR2007,16420
Argentina,ARG,2008,YR2008,17270
Argentina,ARG,2009,YR2009,16110
Argentina,ARG,2010,YR2010,17710
Argentina,ARG,2011,YR2011,19070
Argentina,ARG,2012,YR2012,19120
Argentina,ARG,2013,YR2013,19730
Argentina,ARG,2014,YR2014,19400
Argentina,ARG,2015,YR2015,19980
Argentina,ARG,2016,YR2016,19600
Australia,AUS,1985,YR1985,..
Australia,AUS,1986,YR1986,..
Australia,AUS,1987,YR1987,..
Australia,AUS,1988,YR1988,..
Australia,AUS,1989,YR1989,..
Australia,AUS,1990,YR1990,16720
Australia,AUS,1991,YR1991,17060
Australia,AUS,1992,YR1992,17480
Australia,AUS,1993,YR1993,18600
Australia,AUS,1994,YR1994,19620
Australia,AUS,1995,YR1995,20170
Australia,AUS,1996,YR1996,21180
Australia,AUS,1997,YR1997,22150
Australia,AUS,1998,YR1998,23410
Australia,AUS,1999,YR1999,24460
Australia,AUS,2000,YR2000,25560
Australia,AUS,2001,YR2001,26580
Australia,AUS,2002,YR2002,27930
Australia,AUS,2003,YR2003,28840
Australia,AUS,2004,YR2004,30420
Australia,AUS,2005,YR2005,31330
Australia,AUS,2006,YR2006,32950
Australia,AUS,2007,YR2007,34880
Australia,AUS,2008,YR2008,35880
Australia,AUS,2009,YR2009,38820
Australia,AUS,2010,YR2010,37750
Australia,AUS,2011,YR2011,40210
Australia,AUS,2012,YR2012,41430
Australia,AUS,2013,YR2013,44650
Australia,AUS,2014,YR2014,45520
Australia,AUS,2015,YR2015,45270
Australia,AUS,2016,YR2016,45110
Brazil,BRA,1985,YR1985,..
Brazil,BRA,1986,YR1986,..
Brazil,BRA,1987,YR1987,..
Brazil,BRA,1988,YR1988,..
Brazil,BRA,1989,YR1989,..
Brazil,BRA,1990,YR1990,6510
Brazil,BRA,1991,YR1991,6740
Brazil,BRA,1992,YR1992,6770
Brazil,BRA,1993,YR1993,7090
Brazil,BRA,1994,YR1994,7410
Brazil,BRA,1995,YR1995,7950
Brazil,BRA,1996,YR1996,8050
Brazil,BRA,1997,YR1997,8290
Brazil,BRA,1998,YR1998,8170
Brazil,BRA,1999,YR1999,8140
Brazil,BRA,2000,YR2000,8750
Brazil,BRA,2001,YR2001,8920
Brazil,BRA,2002,YR2002,9200
Brazil,BRA,2003,YR2003,9380
Brazil,BRA,2004,YR2004,10090
Brazil,BRA,2005,YR2005,10630
Brazil,BRA,2006,YR2006,11310
Brazil,BRA,2007,YR2007,12240
Brazil,BRA,2008,YR2008,12930
Brazil,BRA,2009,YR2009,12920
Brazil,BRA,2010,YR2010,13830
Brazil,BRA,2011,YR2011,14580
Brazil,BRA,2012,YR2012,15070
Brazil,BRA,2013,YR2013,15780
Brazil,BRA,2014,YR2014,15880
Brazil,BRA,2015,YR2015,15320
Brazil,BRA,2016,YR2016,14860
China,CHN,1985,YR1985,..
China,CHN,1986,YR1986,..
China,CHN,1987,YR1987,..
China,CHN,1988,YR1988,..
China,CHN,1989,YR1989,..
China,CHN,1990,YR1990,990
China,CHN,1991,YR1991,1100
China,CHN,1992,YR1992,1270
China,CHN,1993,YR1993,1460
China,CHN,1994,YR1994,1670
China,CHN,1995,YR1995,1840
China,CHN,1996,YR1996,2040
China,CHN,1997,YR1997,2250
China,CHN,1998,YR1998,2420
China,CHN,1999,YR1999,2630
China,CHN,2000,YR2000,2900
China,CHN,2001,YR2001,3180
China,CHN,2002,YR2002,3520
China,CHN,2003,YR2003,3940
China,CHN,2004,YR2004,4440
China,CHN,2005,YR2005,5060
China,CHN,2006,YR2006,5870
China,CHN,2007,YR2007,6880
China,CHN,2008,YR2008,7680
China,CHN,2009,YR2009,8360
China,CHN,2010,YR2010,9290
China,CHN,2011,YR2011,10290
China,CHN,2012,YR2012,11320
China,CHN,2013,YR2013,12270
China,CHN,2014,YR2014,13460
China,CHN,2015,YR2015,14400
China,CHN,2016,YR2016,15480
France,FRA,1985,YR1985,..
France,FRA,1986,YR1986,..
France,FRA,1987,YR1987,..
France,FRA,1988,YR1988,..
France,FRA,1989,YR1989,..
France,FRA,1990,YR1990,17730
France,FRA,1991,YR1991,18490
France,FRA,1992,YR1992,19150
France,FRA,1993,YR1993,19420
France,FRA,1994,YR1994,20190
France,FRA,1995,YR1995,20950
France,FRA,1996,YR1996,21640
France,FRA,1997,YR1997,22640
France,FRA,1998,YR1998,23770
France,FRA,1999,YR1999,24930
France,FRA,2000,YR2000,26700
France,FRA,2001,YR2001,28140
France,FRA,2002,YR2002,28930
France,FRA,2003,YR2003,28610
France,FRA,2004,YR2004,29580
France,FRA,2005,YR2005,31140
France,FRA,2006,YR2006,33180
France,FRA,2007,YR2007,34870
France,FRA,2008,YR2008,35910
France,FRA,2009,YR2009,35350
France,FRA,2010,YR2010,36730
France,FRA,2011,YR2011,38320
France,FRA,2012,YR2012,38180
France,FRA,2013,YR2013,40040
France,FRA,2014,YR2014,40680
France,FRA,2015,YR2015,41100
France,FRA,2016,YR2016,42020
Germany,DEU,1985,YR1985,..
Germany,DEU,1986,YR1986,..
Germany,DEU,1987,YR1987,..
Germany,DEU,1988,YR1988,..
Germany,DEU,1989,YR1989,..
Germany,DEU,1990,YR1990,19750
Germany,DEU,1991,YR1991,21140
Germany,DEU,1992,YR1992,21860
Germany,DEU,1993,YR1993,21940
Germany,DEU,1994,YR1994,22790
Germany,DEU,1995,YR1995,23530
Germany,DEU,1996,YR1996,24080
Germany,DEU,1997,YR1997,24560
Germany,DEU,1998,YR1998,25200
Germany,DEU,1999,YR1999,26140
Germany,DEU,2000,YR2000,27110
Germany,DEU,2001,YR2001,28260
Germany,DEU,2002,YR2002,28980
Germany,DEU,2003,YR2003,29720
Germany,DEU,2004,YR2004,31650
Germany,DEU,2005,YR2005,32250
Germany,DEU,2006,YR2006,34840
Germany,DEU,2007,YR2007,36980
Germany,DEU,2008,YR2008,38400
Germany,DEU,2009,YR2009,37870
Germany,DEU,2010,YR2010,40000
Germany,DEU,2011,YR2011,43770
Germany,DEU,2012,YR2012,44590
Germany,DEU,2013,YR2013,46250
Germany,DEU,2014,YR2014,48020
Germany,DEU,2015,YR2015,48690
Germany,DEU,2016,YR2016,49770
India,IND,1985,YR1985,..
India,IND,1986,YR1986,..
India,IND,1987,YR1987,..
India,IND,1988,YR1988,..
India,IND,1989,YR1989,..
India,IND,1990,YR1990,1120
India,IND,1991,YR1991,1140
India,IND,1992,YR1992,1210
India,IND,1993,YR1993,1270
India,IND,1994,YR1994,1360
India,IND,1995,YR1995,1470
India,IND,1996,YR1996,1580
India,IND,1997,YR1997,1640
India,IND,1998,YR1998,1730
India,IND,1999,YR1999,1880
India,IND,2000,YR2000,1960
India,IND,2001,YR2001,2070
India,IND,2002,YR2002,2140
India,IND,2003,YR2003,2320
India,IND,2004,YR2004,2530
India,IND,2005,YR2005,2810
India,IND,2006,YR2006,3110
India,IND,2007,YR2007,3470
India,IND,2008,YR2008,3620
India,IND,2009,YR2009,3900
India,IND,2010,YR2010,4270
India,IND,2011,YR2011,4600
India,IND,2012,YR2012,4860
India,IND,2013,YR2013,5190
India,IND,2014,YR2014,5610
India,IND,2015,YR2015,6060
India,IND,2016,YR2016,6500
Indonesia,IDN,1985,YR1985,..
Indonesia,IDN,1986,YR1986,..
Indonesia,IDN,1987,YR1987,..
Indonesia,IDN,1988,YR1988,..
Indonesia,IDN,1989,YR1989,..
Indonesia,IDN,1990,YR1990,2840
Indonesia,IDN,1991,YR1991,3090
Indonesia,IDN,1992,YR1992,3310
Indonesia,IDN,1993,YR1993,3590
Indonesia,IDN,1994,YR1994,3920
Indonesia,IDN,1995,YR1995,4260
Indonesia,IDN,1996,YR1996,4610
Indonesia,IDN,1997,YR1997,4830
Indonesia,IDN,1998,YR1998,4070
Indonesia,IDN,1999,YR1999,4020
Indonesia,IDN,2000,YR2000,4300
Indonesia,IDN,2001,YR2001,4630
Indonesia,IDN,2002,YR2002,4880
Indonesia,IDN,2003,YR2003,5100
Indonesia,IDN,2004,YR2004,5390
Indonesia,IDN,2005,YR2005,5780
Indonesia,IDN,2006,YR2006,6240
Indonesia,IDN,2007,YR2007,6730
Indonesia,IDN,2008,YR2008,7220
Indonesia,IDN,2009,YR2009,7510
Indonesia,IDN,2010,YR2010,8040
Indonesia,IDN,2011,YR2011,8590
Indonesia,IDN,2012,YR2012,9160
Indonesia,IDN,2013,YR2013,9680
Indonesia,IDN,2014,YR2014,10180
Indonesia,IDN,2015,YR2015,10670
Indonesia,IDN,2016,YR2016,11240
Italy,ITA,1985,YR1985,..
Italy,ITA,1986,YR1986,..
Italy,ITA,1987,YR1987,..
Italy,ITA,1988,YR1988,..
Italy,ITA,1989,YR1989,..
Italy,ITA,1990,YR1990,18330
Italy,ITA,1991,YR1991,19180
Italy,ITA,1992,YR1992,19730
Italy,ITA,1993,YR1993,20050
Italy,ITA,1994,YR1994,20890
Italy,ITA,1995,YR1995,22010
Italy,ITA,1996,YR1996,22740
Italy,ITA,1997,YR1997,23700
Italy,ITA,1998,YR1998,24790
Italy,ITA,1999,YR1999,25480
Italy,ITA,2000,YR2000,26920
Italy,ITA,2001,YR2001,27870
Italy,ITA,2002,YR2002,28510
Italy,ITA,2003,YR2003,28940
Italy,ITA,2004,YR2004,29410
Italy,ITA,2005,YR2005,30100
Italy,ITA,2006,YR2006,32460
Italy,ITA,2007,YR2007,34020
Italy,ITA,2008,YR2008,35080
Italy,ITA,2009,YR2009,34490
Italy,ITA,2010,YR2010,34970
Italy,ITA,2011,YR2011,36250
Italy,ITA,2012,YR2012,36190
Italy,ITA,2013,YR2013,36070
Italy,ITA,2014,YR2014,36070
Italy,ITA,2015,YR2015,36440
Italy,ITA,2016,YR2016,38470
Japan,JPN,1985,YR1985,..
Japan,JPN,1986,YR1986,..
Japan,JPN,1987,YR1987,..
Japan,JPN,1988,YR1988,..
Japan,JPN,1989,YR1989,..
Japan,JPN,1990,YR1990,19620
Japan,JPN,1991,YR1991,20880
Japan,JPN,1992,YR1992,21520
Japan,JPN,1993,YR1993,22020
Japan,JPN,1994,YR1994,22590
Japan,JPN,1995,YR1995,23610
Japan,JPN,1996,YR1996,24800
Japan,JPN,1997,YR1997,25460
Japan,JPN,1998,YR1998,25360
Japan,JPN,1999,YR1999,25630
Japan,JPN,2000,YR2000,27220
Japan,JPN,2001,YR2001,27910
Japan,JPN,2002,YR2002,28560
Japan,JPN,2003,YR2003,29380
Japan,JPN,2004,YR2004,30930
Japan,JPN,2005,YR2005,32350
Japan,JPN,2006,YR2006,33970
Japan,JPN,2007,YR2007,35540
Japan,JPN,2008,YR2008,35710
Japan,JPN,2009,YR2009,34000
Japan,JPN,2010,YR2010,35900
Japan,JPN,2011,YR2011,36790
Japan,JPN,2012,YR2012,38190
Japan,JPN,2013,YR2013,40280
Japan,JPN,2014,YR2014,40590
Japan,JPN,2015,YR2015,42270
Japan,JPN,2016,YR2016,43630
"Korea, Rep.",KOR,1985,YR1985,..
"Korea, Rep.",KOR,1986,YR1986,..
"Korea, Rep.",KOR,1987,YR1987,..
"Korea, Rep.",KOR,1988,YR1988,..
"Korea, Rep.",KOR,1989,YR1989,..
"Korea, Rep.",KOR,1990,YR1990,8260
"Korea, Rep.",KOR,1991,YR1991,9330
"Korea, Rep.",KOR,1992,YR1992,10020
"Korea, Rep.",KOR,1993,YR1993,10850
"Korea, Rep.",KOR,1994,YR1994,11970
"Korea, Rep.",KOR,1995,YR1995,13240
"Korea, Rep.",KOR,1996,YR1996,14370
"Korea, Rep.",KOR,1997,YR1997,15300
"Korea, Rep.",KOR,1998,YR1998,14410
"Korea, Rep.",KOR,1999,YR1999,16200
"Korea, Rep.",KOR,2000,YR2000,17950
"Korea, Rep.",KOR,2001,YR2001,19050
"Korea, Rep.",KOR,2002,YR2002,20690
"Korea, Rep.",KOR,2003,YR2003,21290
"Korea, Rep.",KOR,2004,YR2004,22900
"Korea, Rep.",KOR,2005,YR2005,24010
"Korea, Rep.",KOR,2006,YR2006,25730
"Korea, Rep.",KOR,2007,YR2007,27740
"Korea, Rep.",KOR,2008,YR2008,28650
"Korea, Rep.",KOR,2009,YR2009,28250
"Korea, Rep.",KOR,2010,YR2010,30410
"Korea, Rep.",KOR,2011,YR2011,31410
"Korea, Rep.",KOR,2012,YR2012,32430
"Korea, Rep.",KOR,2013,YR2013,32850
"Korea, Rep.",KOR,2014,YR2014,33690
"Korea, Rep.",KOR,2015,YR2015,35300
"Korea, Rep.",KOR,2016,YR2016,36730
Mexico,MEX,1985,YR1985,..
Mexico,MEX,1986,YR1986,..
Mexico,MEX,1987,YR1987,..
Mexico,MEX,1988,YR1988,..
Mexico,MEX,1989,YR1989,..
Mexico,MEX,1990,YR1990,5810
Mexico,MEX,1991,YR1991,6170
Mexico,MEX,1992,YR1992,6440
Mexico,MEX,1993,YR1993,8220
Mexico,MEX,1994,YR1994,8680
Mexico,MEX,1995,YR1995,8080
Mexico,MEX,1996,YR1996,8380
Mexico,MEX,1997,YR1997,9120
Mexico,MEX,1998,YR1998,9550
Mexico,MEX,1999,YR1999,9940
Mexico,MEX,2000,YR2000,10570
Mexico,MEX,2001,YR2001,10680
Mexico,MEX,2002,YR2002,10710
Mexico,MEX,2003,YR2003,10760
Mexico,MEX,2004,YR2004,11340
Mexico,MEX,2005,YR2005,12110
Mexico,MEX,2006,YR2006,13230
Mexico,MEX,2007,YR2007,13760
Mexico,MEX,2008,YR2008,14350
Mexico,MEX,2009,YR2009,13930
Mexico,MEX,2010,YR2010,14680
Mexico,MEX,2011,YR2011,15790
Mexico,MEX,2012,YR2012,16340
Mexico,MEX,2013,YR2013,16360
Mexico,MEX,2014,YR2014,17080
Mexico,MEX,2015,YR2015,16830
Mexico,MEX,2016,YR2016,17330
Netherlands,NLD,1985,YR1985,..
Netherlands,NLD,1986,YR1986,..
Netherlands,NLD,1987,YR1987,..
Netherlands,NLD,1988,YR1988,..
Netherlands,NLD,1989,YR1989,..
Netherlands,NLD,1990,YR1990,18730
Netherlands,NLD,1991,YR1991,19760
Netherlands,NLD,1992,YR1992,20320
Netherlands,NLD,1993,YR1993,21070
Netherlands,NLD,1994,YR1994,22170
Netherlands,NLD,1995,YR1995,23410
Netherlands,NLD,1996,YR1996,24560
Netherlands,NLD,1997,YR1997,25900
Netherlands,NLD,1998,YR1998,27190
Netherlands,NLD,1999,YR1999,29280
Netherlands,NLD,2000,YR2000,32100
Netherlands,NLD,2001,YR2001,32640
Netherlands,NLD,2002,YR2002,33840
Netherlands,NLD,2003,YR2003,34000
Netherlands,NLD,2004,YR2004,35860
Netherlands,NLD,2005,YR2005,37020
Netherlands,NLD,2006,YR2006,41230
Netherlands,NLD,2007,YR2007,43860
Netherlands,NLD,2008,YR2008,44990
Netherlands,NLD,2009,YR2009,44080
Netherlands,NLD,2010,YR2010,44900
Netherlands,NLD,2011,YR2011,46910
Netherlands,NLD,2012,YR2012,47670
Netherlands,NLD,2013,YR2013,49350
Netherlands,NLD,2014,YR2014,48480
Netherlands,NLD,2015,YR2015,49250
Netherlands,NLD,2016,YR2016,49930
Russian Federation,RUS,1985,YR1985,..
Russian Federation,RUS,1986,YR1986,..
Russian Federation,RUS,1987,YR1987,..
Russian Federation,RUS,1988,YR1988,..
Russian Federation,RUS,1989,YR1989,..
Russian Federation,RUS,1990,YR1990,8000
Russian Federation,RUS,1991,YR1991,7820
Russian Federation,RUS,1992,YR1992,6790
Russian Federation,RUS,1993,YR1993,6350
Russian Federation,RUS,1994,YR1994,5710
Russian Federation,RUS,1995,YR1995,5560
Russian Federation,RUS,1996,YR1996,5440
Russian Federation,RUS,1997,YR1997,5580
Russian Federation,RUS,1998,YR1998,5220
Russian Federation,RUS,1999,YR1999,5680
Russian Federation,RUS,2000,YR2000,6650
Russian Federation,RUS,2001,YR2001,7270
Russian Federation,RUS,2002,YR2002,7880
Russian Federation,RUS,2003,YR2003,8970
Russian Federation,RUS,2004,YR2004,10010
Russian Federation,RUS,2005,YR2005,11540
Russian Federation,RUS,2006,YR2006,14480
Russian Federation,RUS,2007,YR2007,16280
Russian Federation,RUS,2008,YR2008,19600
Russian Federation,RUS,2009,YR2009,18760
Russian Federation,RUS,2010,YR2010,19860
Russian Federation,RUS,2011,YR2011,23600
Russian Federation,RUS,2012,YR2012,25000
Russian Federation,RUS,2013,YR2013,25330
Russian Federation,RUS,2014,YR2014,24950
Russian Federation,RUS,2015,YR2015,24060
Russian Federation,RUS,2016,YR2016,24130
Saudi Arabia,SAU,1985,YR1985,..
Saudi Arabia,SAU,1986,YR1986,..
Saudi Arabia,SAU,1987,YR1987,..
Saudi Arabia,SAU,1988,YR1988,..
Saudi Arabia,SAU,1989,YR1989,..
Saudi Arabia,SAU,1990,YR1990,28490
Saudi Arabia,SAU,1991,YR1991,32180
Saudi Arabia,SAU,1992,YR1992,32950
Saudi Arabia,SAU,1993,YR1993,32650
Saudi Arabia,SAU,1994,YR1994,32250
Saudi Arabia,SAU,1995,YR1995,32560
Saudi Arabia,SAU,1996,YR1996,32830
Saudi Arabia,SAU,1997,YR1997,33090
Saudi Arabia,SAU,1998,YR1998,34080
Saudi Arabia,SAU,1999,YR1999,32760
Saudi Arabia,SAU,2000,YR2000,34300
Saudi Arabia,SAU,2001,YR2001,33950
Saudi Arabia,SAU,2002,YR2002,32480
Saudi Arabia,SAU,2003,YR2003,35670
Saudi Arabia,SAU,2004,YR2004,38550
Saudi Arabia,SAU,2005,YR2005,40880
Saudi Arabia,SAU,2006,YR2006,42210
Saudi Arabia,SAU,2007,YR2007,43170
Saudi Arabia,SAU,2008,YR2008,45630
Saudi Arabia,SAU,2009,YR2009,43920
Saudi Arabia,SAU,2010,YR2010,45100
Saudi Arabia,SAU,2011,YR2011,49220
Saudi Arabia,SAU,2012,YR2012,51240
Saudi Arabia,SAU,2013,YR2013,52020
Saudi Arabia,SAU,2014,YR2014,53570
Saudi Arabia,SAU,2015,YR2015,55580
Saudi Arabia,SAU,2016,YR2016,55710
Spain,ESP,1985,YR1985,..
Spain,ESP,1986,YR1986,..
Spain,ESP,1987,YR1987,..
Spain,ESP,1988,YR1988,..
Spain,ESP,1989,YR1989,..
Spain,ESP,1990,YR1990,13530
Spain,ESP,1991,YR1991,14300
Spain,ESP,1992,YR1992,14680
Spain,ESP,1993,YR1993,14860
Spain,ESP,1994,YR1994,15260
Spain,ESP,1995,YR1995,16140
Spain,ESP,1996,YR1996,16730
Spain,ESP,1997,YR1997,17710
Spain,ESP,1998,YR1998,18860
Spain,ESP,1999,YR1999,19790
Spain,ESP,2000,YR2000,21450
Spain,ESP,2001,YR2001,22690
Spain,ESP,2002,YR2002,24090
Spain,ESP,2003,YR2003,24850
Spain,ESP,2004,YR2004,25950
Spain,ESP,2005,YR2005,27300
Spain,ESP,2006,YR2006,30280
Spain,ESP,2007,YR2007,31800
Spain,ESP,2008,YR2008,32570
Spain,ESP,2009,YR2009,31790
Spain,ESP,2010,YR2010,31510
Spain,ESP,2011,YR2011,31510
Spain,ESP,2012,YR2012,31760
Spain,ESP,2013,YR2013,32430
Spain,ESP,2014,YR2014,33600
Spain,ESP,2015,YR2015,34740
Spain,ESP,2016,YR2016,36300
Switzerland,CHE,1985,YR1985,..
Switzerland,CHE,1986,YR1986,..
Switzerland,CHE,1987,YR1987,..
Switzerland,CHE,1988,YR1988,..
Switzerland,CHE,1989,YR1989,..
Switzerland,CHE,1990,YR1990,28170
Switzerland,CHE,1991,YR1991,28510
Switzerland,CHE,1992,YR1992,28740
Switzerland,CHE,1993,YR1993,29260
Switzerland,CHE,1994,YR1994,29770
Switzerland,CHE,1995,YR1995,30590
Switzerland,CHE,1996,YR1996,31360
Switzerland,CHE,1997,YR1997,33260
Switzerland,CHE,1998,YR1998,34520
Switzerland,CHE,1999,YR1999,35750
Switzerland,CHE,2000,YR2000,38080
Switzerland,CHE,2001,YR2001,38270
Switzerland,CHE,2002,YR2002,38730
Switzerland,CHE,2003,YR2003,40140
Switzerland,CHE,2004,YR2004,41610
Switzerland,CHE,2005,YR2005,43910
Switzerland,CHE,2006,YR2006,48360
Switzerland,CHE,2007,YR2007,49850
Switzerland,CHE,2008,YR2008,48960
Switzerland,CHE,2009,YR2009,52630
Switzerland,CHE,2010,YR2010,56090
Switzerland,CHE,2011,YR2011,56460
Switzerland,CHE,2012,YR2012,58880
Switzerland,CHE,2013,YR2013,61380
Switzerland,CHE,2014,YR2014,62170
Switzerland,CHE,2015,YR2015,65210
Switzerland,CHE,2016,YR2016,64480
Turkey,TUR,1985,YR1985,..
Turkey,TUR,1986,YR1986,..
Turkey,TUR,1987,YR1987,..
Turkey,TUR,1988,YR1988,..
Turkey,TUR,1989,YR1989,..
Turkey,TUR,1990,YR1990,6040
Turkey,TUR,1991,YR1991,6190
Turkey,TUR,1992,YR1992,6610
Turkey,TUR,1993,YR1993,7200
Turkey,TUR,1994,YR1994,6780
Turkey,TUR,1995,YR1995,7350
Turkey,TUR,1996,YR1996,7890
Turkey,TUR,1997,YR1997,8490
Turkey,TUR,1998,YR1998,8990
Turkey,TUR,1999,YR1999,8640
Turkey,TUR,2000,YR2000,9440
Turkey,TUR,2001,YR2001,8990
Turkey,TUR,2002,YR2002,9150
Turkey,TUR,2003,YR2003,9430
Turkey,TUR,2004,YR2004,10710
Turkey,TUR,2005,YR2005,11760
Turkey,TUR,2006,YR2006,13470
Turkey,TUR,2007,YR2007,14710
Turkey,TUR,2008,YR2008,15890
Turkey,TUR,2009,YR2009,15300
Turkey,TUR,2010,YR2010,17300
Turkey,TUR,2011,YR2011,19490
Turkey,TUR,2012,YR2012,20480
Turkey,TUR,2013,YR2013,22110
Turkey,TUR,2014,YR2014,23820
Turkey,TUR,2015,YR2015,24570
Turkey,TUR,2016,YR2016,24980
United Kingdom,GBR,1985,YR1985,..
United Kingdom,GBR,1986,YR1986,..
United Kingdom,GBR,1987,YR1987,..
United Kingdom,GBR,1988,YR1988,..
United Kingdom,GBR,1989,YR1989,..
United Kingdom,GBR,1990,YR1990,16990
United Kingdom,GBR,1991,YR1991,17360
United Kingdom,GBR,1992,YR1992,17980
United Kingdom,GBR,1993,YR1993,18810
United Kingdom,GBR,1994,YR1994,20240
United Kingdom,GBR,1995,YR1995,19610
United Kingdom,GBR,1996,YR1996,20840
United Kingdom,GBR,1997,YR1997,22300
United Kingdom,GBR,1998,YR1998,23360
United Kingdom,GBR,1999,YR1999,23960
United Kingdom,GBR,2000,YR2000,26220
United Kingdom,GBR,2001,YR2001,27590
United Kingdom,GBR,2002,YR2002,29090
United Kingdom,GBR,2003,YR2003,30390
United Kingdom,GBR,2004,YR2004,32180
United Kingdom,GBR,2005,YR2005,33040
United Kingdom,GBR,2006,YR2006,34700
